"timeframe" "time" "price_in_usd"
"1M" "2024-08-23_19:30:00" 61550.5982574291
"1M" "2024-08-23_18:30:00" 60998.1764161145
"1M" "2024-08-23_17:30:00" 61040.7179363588
"1M" "2024-08-23_16:30:00" 61154.6069157378
"1M" "2024-08-23_15:30:00" 60728.4444128367
"1M" "2024-08-23_14:30:00" 61092.6194307488
"1M" "2024-08-23_13:30:00" 61063.9306826068
"1M" "2024-08-23_12:30:00" 61291.6389335667
"1M" "2024-08-23_11:30:00" 61083.2385582444
"1M" "2024-08-23_10:30:00" 61181.5545985282
"1M" "2024-08-23_09:30:00" 60860.9406931547
"1M" "2024-08-23_08:30:00" 60696.9265728826
"1M" "2024-08-23_07:30:00" 60605.5771636503
"1M" "2024-08-23_06:30:00" 60666.0161574877
"1M" "2024-08-23_05:30:00" 60799.2347580656
"1M" "2024-08-23_04:30:00" 60745.8781081857
"1M" "2024-08-23_03:30:00" 60380.9528602663
"1M" "2024-08-23_01:30:00" 60574.7551302022
"1M" "2024-08-23_00:30:00" 60606.9496022015
"1M" "2024-08-22_23:30:00" 60321.091423056
"1M" "2024-08-22_22:30:00" 60342.7717580518
"1M" "2024-08-22_21:30:00" 60180.200365673
"1M" "2024-08-22_20:30:00" 60326.5180434089
"1M" "2024-08-22_19:30:00" 60397.9282573429
"1M" "2024-08-22_18:30:00" 60582.6833687586
"1M" "2024-08-22_17:30:00" 60873.2180240627
"1M" "2024-08-22_16:30:00" 60880.0007158421
"1M" "2024-08-22_15:30:00" 61364.7733917448
"1M" "2024-08-22_14:30:00" 61390.1060594505
"1M" "2024-08-22_13:30:00" 60915.4030791844
"1M" "2024-08-22_12:30:00" 60968.2107519924
"1M" "2024-08-22_11:30:00" 61019.3096731143
"1M" "2024-08-22_10:30:00" 60788.9507659118
"1M" "2024-08-22_09:30:00" 60716.9781005939
"1M" "2024-08-22_08:30:00" 60796.7313608591
"1M" "2024-08-22_07:30:00" 60574.1844326316
"1M" "2024-08-22_06:30:00" 60186.3988510537
"1M" "2024-08-22_05:30:00" 60986.4285611901
"1M" "2024-08-22_04:30:00" 60868.5593320028
"1M" "2024-08-22_03:30:00" 61168.315762736
"1M" "2024-08-22_02:30:00" 61212.596809706
"1M" "2024-08-22_01:30:00" 61186.2494125928
"1M" "2024-08-22_00:30:00" 61205.7458808101
"1M" "2024-08-21_23:30:00" 61552.1746640846
"1M" "2024-08-21_22:30:00" 60825.2782679645
"1M" "2024-08-21_21:30:00" 59933.4966887626
"1M" "2024-08-21_20:30:00" 59846.6579098521
"1M" "2024-08-21_19:30:00" 59554.1695598236
"1M" "2024-08-21_18:30:00" 59428.0365538462
"1M" "2024-08-21_17:30:00" 59795.700150592
"1M" "2024-08-21_16:30:00" 59510.887303908
"1M" "2024-08-21_15:30:00" 59410.8498464033
"1M" "2024-08-21_14:30:00" 59475.0553370896
"1M" "2024-08-21_13:30:00" 59280.6364495699
"1M" "2024-08-21_11:30:00" 59725.2399565963
"1M" "2024-08-21_10:30:00" 59643.0040879066
"1M" "2024-08-21_09:30:00" 59387.873507908
"1M" "2024-08-21_08:30:00" 59360.7771898677
"1M" "2024-08-21_07:30:00" 59290.0602192021
"1M" "2024-08-21_06:30:00" 59378.2440924616
"1M" "2024-08-21_05:30:00" 59235.4831011099
"1M" "2024-08-21_04:30:00" 58990.5748880728
"1M" "2024-08-21_03:30:00" 59014.9876262709
"1M" "2024-08-21_02:30:00" 59351.7528611521
"1M" "2024-08-21_01:30:00" 59310.9586670387
"1M" "2024-08-21_00:30:00" 59340.3174746782
"1M" "2024-08-20_23:30:00" 59476.6180978222
"1M" "2024-08-20_22:30:00" 59327.1468730192
"1M" "2024-08-20_21:30:00" 58992.8718866995
"1M" "2024-08-20_20:30:00" 58811.2126746824
"1M" "2024-08-20_19:30:00" 58821.6995285746
"1M" "2024-08-20_18:30:00" 59533.0884014323
"1M" "2024-08-20_17:30:00" 60917.6337867076
"1M" "2024-08-20_16:30:00" 60711.7934915055
"1M" "2024-08-20_15:30:00" 60537.3613640426
"1M" "2024-08-20_14:30:00" 60775.3933117166
"1M" "2024-08-20_13:30:00" 60897.2502016406
"1M" "2024-08-20_12:30:00" 60765.6958360904
"1M" "2024-08-20_11:30:00" 60937.6634754888
"1M" "2024-08-20_10:30:00" 61014.5659390874
"1M" "2024-08-20_09:30:00" 61165.4220834775
"1M" "2024-08-20_08:30:00" 60934.7126720686
"1M" "2024-08-20_07:30:00" 60625.0680029652
"1M" "2024-08-20_06:30:00" 60535.9204440622
"1M" "2024-08-20_05:30:00" 60497.2833610685
"1M" "2024-08-20_04:30:00" 60482.7158739692
"1M" "2024-08-20_03:30:00" 59493.4519675227
"1M" "2024-08-20_02:30:00" 59285.4162538449
"1M" "2024-08-20_01:30:00" 59030.6141716699
"1M" "2024-08-20_00:30:00" 59134.4326937607
"1M" "2024-08-19_23:30:00" 59132.3438519116
"1M" "2024-08-19_21:30:00" 59008.8683966863
"1M" "2024-08-19_20:30:00" 58694.8271174311
"1M" "2024-08-19_19:30:00" 58610.6383922367
"1M" "2024-08-19_18:30:00" 58537.025152945
"1M" "2024-08-19_17:30:00" 58239.7770580284
"1M" "2024-08-19_16:30:00" 58465.3686911516
"1M" "2024-08-19_15:30:00" 58477.6379272004
"1M" "2024-08-19_14:30:00" 58073.1594356484
"1M" "2024-08-19_13:30:00" 58028.0807390745
"1M" "2024-08-19_12:30:00" 58616.6541807048
"1M" "2024-08-19_11:30:00" 58522.8470428092
"1M" "2024-08-19_10:30:00" 58603.5993527172
"1M" "2024-08-19_09:30:00" 58486.3668598933
"1M" "2024-08-19_08:30:00" 58587.9467614981
"1M" "2024-08-19_07:30:00" 58751.986159604
"1M" "2024-08-19_06:30:00" 58720.1031873593
"1M" "2024-08-19_05:30:00" 58548.3345190858
"1M" "2024-08-19_04:30:00" 58391.3115057725
"1M" "2024-08-19_03:30:00" 58480.7127277463
"1M" "2024-08-19_02:30:00" 59378.5792001714
"1M" "2024-08-19_01:30:00" 59436.8473239539
"1M" "2024-08-19_00:30:00" 59824.8400843071
"1M" "2024-08-18_23:30:00" 59697.9376774809
"1M" "2024-08-18_22:30:00" 59607.196749025
"1M" "2024-08-18_21:30:00" 59521.6981648672
"1M" "2024-08-18_20:30:00" 59833.4942456682
"1M" "2024-08-18_19:30:00" 59867.9820527853
"1M" "2024-08-18_18:30:00" 59820.6967493954
"1M" "2024-08-18_17:30:00" 59869.5008700043
"1M" "2024-08-18_16:30:00" 60018.9909194549
"1M" "2024-08-18_15:30:00" 59999.4044391954
"1M" "2024-08-18_14:30:00" 59907.2344679341
"1M" "2024-08-18_13:30:00" 59901.956636103
"1M" "2024-08-18_12:30:00" 59705.7714211294
"1M" "2024-08-18_11:30:00" 59574.998155644
"1M" "2024-08-18_10:30:00" 59589.1116875799
"1M" "2024-08-18_09:30:00" 59508.1184724407
"1M" "2024-08-18_07:30:00" 59354.2842700536
"1M" "2024-08-18_06:30:00" 60171.2804078912
"1M" "2024-08-18_05:30:00" 59453.8109035022
"1M" "2024-08-18_04:30:00" 59698.6039735713
"1M" "2024-08-18_03:30:00" 59468.1314945541
"1M" "2024-08-18_02:30:00" 59312.666522005
"1M" "2024-08-18_01:30:00" 59295.749232991
"1M" "2024-08-18_00:30:00" 59422.2340946432
"1M" "2024-08-17_23:30:00" 59484.7496661402
"1M" "2024-08-17_22:30:00" 59425.5575623818
"1M" "2024-08-17_21:30:00" 59471.5738856731
"1M" "2024-08-17_20:30:00" 59619.1948513519
"1M" "2024-08-17_19:30:00" 59403.3299658309
